tolerance_broader0,predictor,coefficient,rank
more tolerant,(Intercept),-6.324621187170543,1
more tolerant,censor_antireligion_book5,2.9383914871183325,2
more tolerant,censor_antireligion_speaker5,-2.9105801899530745,3
more tolerant,admitted_communist_put_jail5,2.602892183692612,4
more tolerant,censor_socialist_speaker5,-2.020928574916097,5
more tolerant,child_rearing_respect9,1.4844214301445946,6
more tolerant,censor_socialist_book5,1.3803489762698897,7
more tolerant,censor_antireligion_speaker8,-1.305871177491177,8
more tolerant,censor_socialist_speaker8,-1.2171417292257105,9
more tolerant,admitted_communist_buy_soap5,1.063274608628019,10
more tolerant,respondents_fathermother_born60,-0.4866846256590866,11
more tolerant,respondents_fathermother_born10,-0.3522086302844593,12
more tolerant,dangers_reporting_communists_fbi8,-0.3148594423455502,13
more tolerant,respondents_choice_president...1317,-0.2762937661251341,14
more tolerant,alledged_communist_fire_teacher5,0.2457792409963732,15
more tolerant,americans_distrustful4,-0.23308094697736179,16
more tolerant,problems_discussed_newspapers50,0.22531954348483202,17
more tolerant,respondents_occupation95,-0.17533983446491316,18
more tolerant,many_communists_defense_plants8,-0.13195456848700818,19
more tolerant,fear_government_jobs_hurt_us1,-0.12166933561523557,20
more tolerant,xrespondent_talked_americans1,0.1129495824410228,21
more tolerant,congressional_witness_silent9,0.10623817471453156,22
more tolerant,many_communists_us3,-0.09134525073207686,23
more tolerant,rosenbergs_caught7,-0.07731553850154269,24
more tolerant,many_communist_teachers_public_schools3,0.07480168157781132,25
more tolerant,xany_dangers_reporting_communists70,-0.07366358972127406,26
more tolerant,many_communists_us5,0.06158694502199171,27
more tolerant,xchoice_congressional_candidate9,-0.05843941564759254,28
more tolerant,danger_communist_college_teachers3,0.04501366379705061,29
more tolerant,admitted_communist_fire_clerk8,0.040934126060160204,30
more tolerant,opinions_communists_formed2,-0.037397947689566786,31
more tolerant,admitted_communist_allow_speak5,-0.03590727238704485,32
more tolerant,city_ask_people_report_communists5,0.03440497619868251,33
more tolerant,child_rearing_conformity2,-0.029880429648405534,34
more tolerant,good_things_congressional_committee_done40,-0.028338555325055387,35
more tolerant,americans_distrustful3,0.022854297845052992,36
more tolerant,xif_antireligion_progovernment_ownership1,0.02088799536593352,37
more tolerant,child_rearing_respect4,-0.017170263142651083,38
more tolerant,type_people_communists12,-0.013873874205336973,39
more tolerant,fight_russia_asia9,0.013066822988957043,40
more tolerant,government_tap_phones9,-0.009672459622981352,41
more tolerant,xwho_less_freedom_speech2,0.006773949992503874,42
more tolerant,respondents_marital_status9,0.0046138510413447084,43
more tolerant,respondent_read_heard_reporting1,0.0017047508839662967,44
in between,censor_antireligion_speaker8,2.7188646662280886,1
in between,censor_antireligion_book5,-1.6967828717263191,2
in between,censor_antireligion_speaker5,1.591747826709383,3
in between,(Intercept),-1.5381078646232549,4
in between,admitted_communist_put_jail5,-1.278298726226256,5
in between,xhead_households_occupation30,0.3403092560748286,6
in between,censor_socialist_book5,-0.3124729442906143,7
in between,respondenthusband_labor_union_member8,0.305017085517792,8
in between,type_people_communists20,-0.2593549908850034,9
in between,alledged_communist_buy_soap5,-0.2353923542813546,10
in between,danger_communist_college_teachers8,0.19298677808631723,11
in between,admitted_communist_remove_book_library5,-0.186907389013682,12
in between,likelihood_world_war_iii_two_years4,0.17727388218514,13
in between,problems_discussed_newspapers70,0.16790917838298544,14
in between,admitted_communist_buy_soap8,0.16674816138128848,15
in between,child_rearing_conformity8,-0.16270042892404418,16
in between,respondent_listens_radio_news2,-0.160977209049967,17
in between,xwho_less_freedom_speech1,-0.1496284399597951,18
in between,many_communists_defense_plants5,0.14946589856165343,19
in between,censor_antireligion_book8,0.144650870663212,20
in between,admitted_communist_buy_soap5,-0.12585753132833521,21
in between,occupation_head_immediate_family40,0.12506271061432828,22
in between,type_people_communists30,0.12215609660714971,23
in between,admitted_communist_allow_speak5,0.11457411428992509,24
in between,xwhy_respondent_feels_cant_speak_freely3,0.11209511076131322,25
in between,region4,0.10457996769878954,26
in between,break_friendship_recent_communist8,0.10119581502541938,27
in between,admitted_communist_lose_citizenship5,-0.10065125545973157,28
in between,xtrust_ikes_policy_us_communists1,0.0983974275033052,29
in between,heard_fear_government_jobs5,0.09651737360010011,30
in between,fear_government_jobs_hurt_us3,0.0933512267724671,31
in between,admitted_communist_fire_defense_job8,-0.08527219998992779,32
in between,silent_congressional_witness_communist3,0.07744728991217087,33
in between,xdid_congressional_committee_catch_rosenberg9,0.07570796020439463,34
in between,rosenbergs_caught2,-0.07523520642639923,35
in between,many_communists_us5,-0.0740297630267163,36
in between,threat_freedom_us3,-0.07078922916790255,37
in between,xdid_congressional_committee_catch_rosenberg1,0.06275943318350762,38
in between,respondent_listens_radio_news4,0.05408565468757264,39
in between,xwho_less_freedom_speech8,-0.05083092314989267,40
in between,many_communist_college_teachers4,-0.04477208742313062,41
in between,region2,-0.04434327782549829,42
in between,government_tap_phones9,0.04367988361342313,43
in between,xwhy_us_communist_danger8,-0.04243149117962728,44
in between,censor_socialist_speaker8,0.04042170891835037,45
in between,fight_russia_europe2,0.03562338220939989,46
in between,government_tap_phones5,0.03261199652291669,47
in between,danger_communist_college_teachers1,0.03211754057808391,48
in between,bad_things_congressional_committee_done99,0.02673691721361116,49
in between,fight_russia_europe4,-0.023955338586940617,50
in between,danger_communist_college_teachers2,-0.023461574215140033,51
in between,congressional_witness_silent3,-0.02302718573056963,52
in between,many_communists_defense_plants8,0.02280410527492285,53
in between,congress_got_rosenbergs5,-0.02274466209247639,54
in between,bad_things_congressional_committee_done60,0.012460830601091202,55
in between,respondenthusband_members_vetrans5,-0.011551474266443177,56
in between,remember_hiss_caught6,0.011353459235999657,57
in between,congressional_witness_silent4,-0.010229421080438126,58
in between,child_rearing_respect8,-0.009112588547307923,59
in between,type_people_communists12,0.008417882817173775,60
in between,fight_russia_asia2,0.007185460459627837,61
in between,respondents_life_better_next_years8,0.006636734519558058,62
in between,respondents_choice_president...1349,0.006127369789638438,63
in between,nobody_hurt_friend_relative2,0.006015423736304798,64
less tolerant,(Intercept),7.8627290517937976,1
less tolerant,alledged_communist_fire_high_school_teacher5,-6.164758461592229,2
less tolerant,alledged_communist_fire_teacher5,-6.094962142642244,3
less tolerant,alledged_communist_make_community_speech5,4.5527045690457255,4
less tolerant,alledged_communist_make_community_speech8,4.366815767743792,5
less tolerant,alledged_communist_fire_clerk5,-3.042866315646437,6
less tolerant,alledged_communist_fire_clerk8,-1.6779447897609532,7
less tolerant,alledged_communist_fire_defense_plant5,-1.5611291859439453,8
less tolerant,alledged_communist_fire_defense_plant8,-0.6789239508682596,9
less tolerant,alledged_communist_remove_book5,-0.3743296462015102,10
less tolerant,remember_hiss_caught6,-0.30153984631260883,11
less tolerant,alledged_communist_fire_singer5,-0.07772906639694985,12
less tolerant,respondent_worries9,-0.052962709741558096,13
less tolerant,respondenthusband_members_vetrans5,0.03168164369804003,14
less tolerant,good_things_congressional_committee_done98,0.010169858350816258,15
less tolerant,communists_believe3,-0.010150637756416683,16
