tolerance_broader,predictor,coefficient,rank
more tolerant,american_communist_without_party_member9,4.386916824322009,1
more tolerant,(Intercept),-3.1163000700837395,2
more tolerant,censor_antireligion_speaker5,-2.6621092913333633,3
more tolerant,censor_antireligion_book5,2.615039657054766,4
more tolerant,respondents_party_identification9,-2.5591444714471905,5
more tolerant,admitted_communist_put_jail5,2.537592478417946,6
more tolerant,censor_antireligion_speaker8,-1.554965824948505,7
more tolerant,congressmen_investigating_communism4,-1.340392559746452,8
more tolerant,admitted_communist_remove_book_library5,1.1894636600763644,9
more tolerant,admitted_communist_fire_singer5,1.0901141977901152,10
more tolerant,censor_socialist_book5,0.6034684447620572,11
more tolerant,censor_socialist_speaker5,-0.5344263124448776,12
more tolerant,admitted_communist_allow_speak5,-0.5019210432721439,13
more tolerant,censor_socialist_speaker8,-0.4538112706928396,14
more tolerant,congressional_witness_silent9,0.40274911745767317,15
more tolerant,alledged_communist_fire_defense_plant5,0.36245128675461263,16
more tolerant,alledged_communist_fire_teacher5,0.35756218821658275,17
more tolerant,xhead_households_occupation79,-0.3099868628829803,18
more tolerant,many_communist_college_teachers5,-0.27759465534874667,19
more tolerant,alledged_communist_fire_high_school_teacher5,0.24642155828572243,20
more tolerant,alledged_communist_fire_clerk5,0.19594721716138974,21
more tolerant,two_important_apprehension9,-0.19559239111667526,22
more tolerant,xdid_congressional_committee_catch_rosenberg9,-0.1938716098895267,23
more tolerant,congressional_witness_silent8,-0.17023002284395816,24
more tolerant,respondents_occupation30,0.14241166229202112,25
more tolerant,often_respondent_thinks_freedom4,-0.08994877040856467,26
more tolerant,respondents_political_worries8,0.08442161057465761,27
more tolerant,problems_discussed_newspapers80,-0.08148171454759251,28
more tolerant,rosenbergs_caught3,0.06615773308243551,29
more tolerant,bad_things_congressional_committee_done60,0.061188991571931264,30
more tolerant,bad_things_congressional_committee_done80,-0.058481652439096206,31
more tolerant,respondents_age5,-0.042197895518296474,32
more tolerant,alledged_communist_fire_clerk8,0.04144783661786153,33
more tolerant,communists_believe1,0.03751147452427611,34
more tolerant,respondents_age2,0.03167477317944728,35
more tolerant,cut_abomb_production8,-0.026656310780792034,36
more tolerant,admitted_communist_fire_clerk5,0.024054114390660627,37
more tolerant,stop_communism_asia_without_war3,0.021123002801666842,38
more tolerant,respondents_age3,0.01580113387475842,39
more tolerant,government_tap_phones9,-0.014826593229846512,40
more tolerant,xcongressional_committee_hurt_innocent1,0.00935730072759883,41
more tolerant,many_communists_defense_plants5,-0.0028044560572231666,42
more tolerant,rosenbergs_caught8,-6.074874484481113e-4,43
in between,censor_antireligion_speaker8,1.3084728924428923,1
in between,respondents_choice_president...1319,1.028858264698003,2
in between,censor_antireligion_speaker5,0.9257574762462369,3
in between,(Intercept),-0.9254812928098799,4
in between,censor_antireligion_book5,-0.9044010625468702,5
in between,favor_peace_communist9,-0.8379418088331037,6
in between,respondents_occupation70,-0.5678500490000044,7
in between,admitted_communist_allow_speak5,0.5614514776632213,8
in between,admitted_communist_put_jail5,-0.5420460312817249,9
in between,type_people_communists21,-0.4245441699985373,10
in between,admitted_communist_remove_book_library5,-0.2420002983853495,11
in between,occupation_head_immediate_family80,-0.1957363628781021,12
in between,xhow_americans_distrustful9,0.19133240672752022,13
in between,xmembership_status_vetrans_organization2,-0.18322204051202293,14
in between,admitted_communist_fire_defense_job5,-0.17991256827529084,15
in between,alledged_communist_fire_teacher8,-0.17081220288991347,16
in between,alledged_communist_make_community_speech5,-0.16539685255607836,17
in between,respondents_age9,-0.16145577194192445,18
in between,alledged_communist_make_community_speech8,-0.1612109420246029,19
in between,problems_discussed_friends5,-0.14959560245230105,20
in between,admitted_communist_lose_citizenship5,-0.1121013524511518,21
in between,xwhy_us_communist_danger8,-0.11052983611982076,22
in between,occupation_head_immediate_family50,0.10377658270788306,23
in between,lead_v1512,0.10099262853312214,24
in between,reporting_communists_discussed_others5,0.10021500878366708,25
in between,respondent_worries_less4,0.08639138131719559,26
in between,good_things_congressional_committee_done30,0.07822631742422467,27
in between,xlimited_speech_bothers_respondent3,-0.07108601602617967,28
in between,communist_loyal_american5,0.0637479414007967,29
in between,censor_antireligion_teacher5,0.06134786403574531,30
in between,last_grade_finished_school3,-0.0359577703941211,31
in between,xhead_households_occupation95,-0.015135262820142806,32
in between,respondents_choice_president...1318,0.014862206588386509,33
in between,favor_oppose_cut_aid_allies1,-0.0061646243299990034,34
in between,public_v1505,-0.0060756154325249416,35
in between,two_important_apprehension9,0.0059756918063311295,36
in between,city_ask_people_report_communists8,-0.004997369921028214,37
in between,favor_peace_communist8,-0.004631862349850462,38
in between,congressional_witness_silent8,9.829211316531815e-4,39
less tolerant,(Intercept),4.0417813628936186,1
less tolerant,alledged_communist_fire_high_school_teacher5,-2.984305704869427,2
less tolerant,alledged_communist_fire_teacher5,-2.1574417113417708,3
less tolerant,alledged_communist_fire_clerk8,-1.8052377110102416,4
less tolerant,alledged_communist_fire_clerk5,-1.7476640872087812,5
less tolerant,censor_socialist_book5,-1.747044092126394,6
less tolerant,alledged_communist_make_community_speech5,1.3532479010710414,7
less tolerant,censor_socialist_speaker8,1.2622290816027397,8
less tolerant,censor_socialist_speaker5,1.247491655669407,9
less tolerant,respondents_party_identification9,1.2139581884683288,10
less tolerant,alledged_communist_fire_defense_plant5,-1.1020251974828852,11
less tolerant,alledged_communist_remove_book5,-1.0143363035921322,12
less tolerant,admitted_communist_buy_soap5,-0.820334210069803,13
less tolerant,alledged_communist_fire_defense_plant8,-0.802322582588793,14
less tolerant,alledged_communist_make_community_speech8,0.6236741063572689,15
less tolerant,fight_russia_europe3,0.4820531976663161,16
less tolerant,danger_communist_college_teachers8,0.3942193224464647,17
less tolerant,alledged_communist_remove_book8,-0.3559657258422657,18
less tolerant,respondent_thought_whether_americans8,0.18792453994936462,19
less tolerant,alledged_communist_fire_singer5,-0.1656091954662315,20
less tolerant,xwhy_us_communist_danger3,-0.08104853429291808,21
less tolerant,americans_distrustful8,0.07030772475141646,22
less tolerant,reporting_communists_discussed_others5,-0.06451067943436813,23
less tolerant,respondent_read_heard_reporting5,0.05039125955161196,24
less tolerant,alledged_communist_buy_soap5,-0.050300555392991594,25
less tolerant,nobody_hurt_friend_relative3,-0.04342363832136866,26
less tolerant,respondent_worries_people3,-0.009454130708862344,27
less tolerant,danger_communists_us_government8,0.008692721732690024,28
less tolerant,xtrust_ikes_policy_us_communists8,0.0019144838977201422,29
